Customer_Name,Customer_ID,Highest_Order_Value
Lynn Smith,LS-17245,829.2599999999999
Alan Barnes,AB-10165,827.884
Roy Collins,RC-19825,819.52
Brendan Murry,BM-11575,811.8399999999999
Erica Hernandez,EH-14005,810.9119999999999
Sung Shariari,SS-20875,806.2280000000001
Jim Mitchum,JM-15655,805.29
Joni Wasserman,JW-15955,800.78
Jonathan Howell,JH-15910,790.872
Beth Fritzler,BF-11275,777.4079999999999
Jennifer Braxton,JB-15400,775.98
Brad Thomas,BT-11485,769.7199999999999
Darren Powers,DP-13000,767.22
Maria Zettner,MZ-17335,753.94
Julia Dunbar,JD-16060,751.42
Barry Blumstein,BB-10990,748.152
Ann Steele,AS-10630,744.892
Art Foster,AF-10885,744.57
Alan Shonely,AS-10240,741.564
Ivan Gibson,IG-15085,740.28
Harry Greene,HG-14845,728.776
Jeremy Farry,JF-15490,714.924
Matt Collins,MC-17575,707.76
Phillina Ober,PO-19195,688.744
Pete Armstrong,PA-19060,679.92
Sandra Flanagan,SF-20065,673.64
Corey Roper,CR-12625,669.36
Vivek Grady,VG-21805,663.072
Ryan Crowe,RC-19960,657.828
Barbara Fisher,BF-10975,657.08
Erica Hackney,EH-13990,655.992
Joy Bell-,JB-16000,655.4656
Barry Weirich,BW-11065,649.488
Tim Taslimi,TT-21265,646.2
Anthony Witt,AW-10840,642.496
Carol Darley,CD-11980,637.92
Berenike Kampe,BK-11260,629.1
Neil Knudson,NK-18490,627.68
Chuck Sachs,CS-12460,623.9200000000001
Jason Fortune-,JF-15295,607.088
MaryBeth Skach,MS-17530,603.92
Michael Granlund,MG-17890,599.5
Erin Creighton,EC-14050,598.14
Evan Minnotte,EM-14200,596.232
Eric Hoffmann,EH-13945,593.336
Toby Ritter,TR-21325,556.8
Khloe Miller,KM-16660,547.8520000000001
Larry Hughes,LH-16750,543.92
Neil Französisch,NF-18475,539.96
Jason Klamczynski,JK-15325,539.184
Sung Chung,SC-20845,533.0400000000001
Muhammed MacIntyre,MM-18280,525.44
Joni Sundaresam,JS-15940,509.488
Lycoris Saunders,LS-17230,506.68000000000006
Alex Grayson,AG-10330,497.64
Aleksandra Gannaway,AG-10300,497.136
Lori Olson,LO-17170,494.88
Mark Haberlin,MH-17440,483
Kelly Williams,KW-16570,482.68
Bryan Davis,BD-11770,481.568
Melanie Seite,MS-17830,478.744
John Huston,JH-15820,457.84
Bart Folk,BF-11080,451.22
Andy Yotov,AY-10555,444.06399999999996
Vivek Gonzalez,VG-21790,422.336
Stuart Calhoun,SC-20800,412.656
Anna Chung,AC-10660,403.168
Larry Tron,LT-16765,403.168
Sonia Sunley,SS-20590,399.98
Rob Beeghly,RB-19570,399.46
Brad Norvell,BN-11470,384.848
Guy Phonely,GP-14740,383.24
Brendan Dodson,BD-11560,337.15999999999997
Erin Mull,EM-14065,331.88
Heather Jas,HJ-14875,327.76
Vivian Mathis,VM-21835,325.04
Anthony O'Donnell,AO-10810,322.56
Don Weiss,DW-13540,316.56
Muhammed Lee,ML-18265,303.92
Nicole Brennan,NB-18580,287.904
Jennifer Halladay,JH-15430,282
Shui Tom,ST-20530,278.88
Chuck Magee,CM-12445,265.9
Joy Daniels,JD-16015,265.2
Michael Oakman,MO-17950,260.576
Allen Goldenen,AG-10390,258.65999999999997
Bobby Odegard,BO-11425,249.5
Hilary Holden,HH-15010,246.56
Harold Dahlen,HD-14785,244.10399999999998
Jill Matthias,JM-15580,242.18400000000003
Lisa Hazard,LH-17020,241.56599999999997
Joel Jenkins,JJ-15760,239.92
Sally Matthias,SM-20005,235.408
Anthony Garverick,AG-10765,226.2
Dorothy Dickinson,DD-13570,219.24
Greg Hansen,GH-14665,212.04160000000002
Roland Murray,RM-19750,196.7
Guy Thornton,GT-14755,193.20799999999997
Robert Barroso,RB-19645,189.37599999999998
Pete Takahito,PT-19090,186.912
Andrew Roberts,AR-10510,179.94
Anemone Ratner,AR-10570,176.3
Ed Ludwig,EL-13735,173.24
Paul Lucas,PL-18925,167.952
Dianna Arnett,DA-13450,155.51999999999998
Phillip Breyer,PB-19210,139.86
Karen Seio,KS-16300,123.752
Clay Cheatham,CC-12550,110.976
Adrian Shami,AS-10135,109.28
Ricardo Emerson,RE-19405,96.72
Jasper Cacioppo,JC-15340,95.88
Fred Wasserman,FW-14395,87.2
Larry Blacks,LB-16735,53.44
Susan Gilcrest,SG-20890,39.296
Mitch Gastineau,MG-18205,33.478
Carl Jackson,CJ-11875,33.04
Roy Skaria,RS-19870,25.36
Lela Donovan,LD-16855,10.608
Thais Sissman,TS-21085,5.616
